Date,game_name,team_name,Player_Id,shift_number,period,start_clock,end_clock,shift_length
11/15/2024,2024-11-15 - Team D at Team C,Team D,41,5,1,10:37,9:39,0:58
11/15/2024,2024-11-15 - Team D at Team C,Team D,4,6,1,10:27,9:47,0:40
11/15/2024,2024-11-15 - Team D at Team C,Team C,84,5,1,10:10,9:38,0:32
11/15/2024,2024-11-15 - Team D at Team C,Team C,14,7,1,10:55,9:38,1:17
11/15/2024,2024-11-15 - Team D at Team C,Team C,38,4,1,10:55,9:38,1:17
11/15/2024,2024-11-15 - Team D at Team C,Team C,90,3,1,10:55,9:51,1:04
11/15/2024,2024-11-15 - Team D at Team C,Team D,14,4,1,10:47,9:39,1:08
11/15/2024,2024-11-15 - Team D at Team C,Team D,27,6,1,10:47,9:46,1:01
11/15/2024,2024-11-15 - Team D at Team C,Team D,28,5,1,10:37,9:39,0:58
11/15/2024,2024-11-15 - Team D at Team C,Team D,41,5,1,10:37,9:39,0:58
11/15/2024,2024-11-15 - Team D at Team C,Team D,4,6,1,10:27,9:47,0:40
11/15/2024,2024-11-15 - Team D at Team C,Team C,84,5,1,10:10,9:38,0:32
11/15/2024,2024-11-15 - Team D at Team C,Team C,14,7,1,10:55,9:38,1:17
11/15/2024,2024-11-15 - Team D at Team C,Team C,38,4,1,10:55,9:38,1:17
11/15/2024,2024-11-15 - Team D at Team C,Team C,90,3,1,10:55,9:51,1:04
11/15/2024,2024-11-15 - Team D at Team C,Team D,14,4,1,10:47,9:39,1:08
11/15/2024,2024-11-15 - Team D at Team C,Team D,27,6,1,10:47,9:46,1:01
11/15/2024,2024-11-15 - Team D at Team C,Team D,28,5,1,10:37,9:39,0:58
11/15/2024,2024-11-15 - Team D at Team C,Team D,41,5,1,10:37,9:39,0:58
11/15/2024,2024-11-15 - Team D at Team C,Team D,4,6,1,10:27,9:47,0:40
11/15/2024,2024-11-15 - Team D at Team C,Team C,84,5,1,10:10,9:38,0:32
11/15/2024,2024-11-15 - Team D at Team C,Team C,14,7,1,10:55,9:38,1:17
11/15/2024,2024-11-15 - Team D at Team C,Team C,38,4,1,10:55,9:38,1:17
11/15/2024,2024-11-15 - Team D at Team C,Team C,90,3,1,10:55,9:51,1:04
11/15/2024,2024-11-15 - Team D at Team C,Team D,14,4,1,10:47,9:39,1:08
11/15/2024,2024-11-15 - Team D at Team C,Team D,27,6,1,10:47,9:46,1:01
11/15/2024,2024-11-15 - Team D at Team C,Team D,28,5,1,10:37,9:39,0:58
11/15/2024,2024-11-15 - Team D at Team C,Team D,41,5,1,10:37,9:39,0:58
11/15/2024,2024-11-15 - Team D at Team C,Team D,4,6,1,10:27,9:47,0:40
11/15/2024,2024-11-15 - Team D at Team C,Team C,84,5,1,10:10,9:38,0:32
11/15/2024,2024-11-15 - Team D at Team C,Team C,14,7,1,10:55,9:38,1:17
11/15/2024,2024-11-15 - Team D at Team C,Team C,38,4,1,10:55,9:38,1:17
11/15/2024,2024-11-15 - Team D at Team C,Team C,90,3,1,10:55,9:51,1:04
11/15/2024,2024-11-15 - Team D at Team C,Team D,14,4,1,10:47,9:39,1:08
11/15/2024,2024-11-15 - Team D at Team C,Team D,27,6,1,10:47,9:46,1:01
11/15/2024,2024-11-15 - Team D at Team C,Team D,28,5,1,10:37,9:39,0:58
11/15/2024,2024-11-15 - Team D at Team C,Team D,41,5,1,10:37,9:39,0:58
11/15/2024,2024-11-15 - Team D at Team C,Team D,4,6,1,10:27,9:47,0:40
11/15/2024,2024-11-15 - Team D at Team C,Team C,84,5,1,10:10,9:38,0:32
11/15/2024,2024-11-15 - Team D at Team C,Team C,14,7,1,10:55,9:38,1:17
11/15/2024,2024-11-15 - Team D at Team C,Team C,38,4,1,10:55,9:38,1:17
11/15/2024,2024-11-15 - Team D at Team C,Team C,90,3,1,10:55,9:51,1:04
11/15/2024,2024-11-15 - Team D at Team C,Team D,14,4,1,10:47,9:39,1:08
11/15/2024,2024-11-15 - Team D at Team C,Team D,27,6,1,10:47,9:46,1:01
11/15/2024,2024-11-15 - Team D at Team C,Team D,28,5,1,10:37,9:39,0:58
11/15/2024,2024-11-15 - Team D at Team C,Team D,41,5,1,10:37,9:39,0:58
11/15/2024,2024-11-15 - Team D at Team C,Team D,4,6,1,10:27,9:47,0:40
11/15/2024,2024-11-15 - Team D at Team C,Team C,84,5,1,10:10,9:38,0:32
11/15/2024,2024-11-15 - Team D at Team C,Team C,14,7,1,10:55,9:38,1:17
11/15/2024,2024-11-15 - Team D at Team C,Team C,38,4,1,10:55,9:38,1:17
11/15/2024,2024-11-15 - Team D at Team C,Team C,90,3,1,10:55,9:51,1:04
11/15/2024,2024-11-15 - Team D at Team C,Team D,14,4,1,10:47,9:39,1:08
11/15/2024,2024-11-15 - Team D at Team C,Team D,27,6,1,10:47,9:46,1:01
11/15/2024,2024-11-15 - Team D at Team C,Team D,28,5,1,10:37,9:39,0:58
11/15/2024,2024-11-15 - Team D at Team C,Team D,41,5,1,10:37,9:39,0:58
11/15/2024,2024-11-15 - Team D at Team C,Team D,4,6,1,10:27,9:47,0:40
11/15/2024,2024-11-15 - Team D at Team C,Team C,84,5,1,10:10,9:38,0:32
11/15/2024,2024-11-15 - Team D at Team C,Team C,14,7,1,10:55,9:38,1:17
11/15/2024,2024-11-15 - Team D at Team C,Team C,38,4,1,10:55,9:38,1:17
11/15/2024,2024-11-15 - Team D at Team C,Team C,90,3,1,10:55,9:51,1:04
11/15/2024,2024-11-15 - Team D at Team C,Team D,14,4,1,10:47,9:39,1:08
11/15/2024,2024-11-15 - Team D at Team C,Team D,27,6,1,10:47,9:46,1:01
11/15/2024,2024-11-15 - Team D at Team C,Team D,28,5,1,10:37,9:39,0:58
11/15/2024,2024-11-15 - Team D at Team C,Team D,41,5,1,10:37,9:39,0:58
11/15/2024,2024-11-15 - Team D at Team C,Team D,4,6,1,10:27,9:47,0:40
11/15/2024,2024-11-15 - Team D at Team C,Team C,84,5,1,10:10,9:38,0:32
11/15/2024,2024-11-15 - Team D at Team C,Team C,14,7,1,10:55,9:38,1:17
11/15/2024,2024-11-15 - Team D at Team C,Team C,38,4,1,10:55,9:38,1:17
11/15/2024,2024-11-15 - Team D at Team C,Team C,90,3,1,10:55,9:51,1:04
11/15/2024,2024-11-15 - Team D at Team C,Team D,14,4,1,10:47,9:39,1:08
11/15/2024,2024-11-15 - Team D at Team C,Team D,27,6,1,10:47,9:46,1:01
11/15/2024,2024-11-15 - Team D at Team C,Team D,28,5,1,10:37,9:39,0:58
11/15/2024,2024-11-15 - Team D at Team C,Team D,41,5,1,10:37,9:39,0:58
11/15/2024,2024-11-15 - Team D at Team C,Team D,4,6,1,10:27,9:47,0:40
11/15/2024,2024-11-15 - Team D at Team C,Team C,84,5,1,10:10,9:38,0:32
11/15/2024,2024-11-15 - Team D at Team C,Team C,14,7,1,10:55,9:38,1:17
11/15/2024,2024-11-15 - Team D at Team C,Team C,38,4,1,10:55,9:38,1:17
11/15/2024,2024-11-15 - Team D at Team C,Team C,90,3,1,10:55,9:51,1:04
11/15/2024,2024-11-15 - Team D at Team C,Team D,14,4,1,10:47,9:39,1:08
11/15/2024,2024-11-15 - Team D at Team C,Team D,27,6,1,10:47,9:46,1:01
11/15/2024,2024-11-15 - Team D at Team C,Team D,28,5,1,10:37,9:39,0:58
11/15/2024,2024-11-15 - Team D at Team C,Team D,41,5,1,10:37,9:39,0:58
11/15/2024,2024-11-15 - Team D at Team C,Team D,4,6,1,10:27,9:47,0:40
11/15/2024,2024-11-15 - Team D at Team C,Team C,84,5,1,10:10,9:38,0:32
11/15/2024,2024-11-15 - Team D at Team C,Team C,14,7,1,10:55,9:38,1:17
11/15/2024,2024-11-15 - Team D at Team C,Team C,38,4,1,10:55,9:38,1:17
11/15/2024,2024-11-15 - Team D at Team C,Team C,90,3,1,10:55,9:51,1:04
11/15/2024,2024-11-15 - Team D at Team C,Team D,14,4,1,10:47,9:39,1:08
11/15/2024,2024-11-15 - Team D at Team C,Team D,27,6,1,10:47,9:46,1:01
11/15/2024,2024-11-15 - Team D at Team C,Team D,28,5,1,10:37,9:39,0:58
11/15/2024,2024-11-15 - Team D at Team C,Team D,41,5,1,10:37,9:39,0:58
11/15/2024,2024-11-15 - Team D at Team C,Team D,4,6,1,10:27,9:47,0:40
11/15/2024,2024-11-15 - Team D at Team C,Team C,84,5,1,10:10,9:38,0:32
11/15/2024,2024-11-15 - Team D at Team C,Team C,14,7,1,10:55,9:38,1:17
11/15/2024,2024-11-15 - Team D at Team C,Team C,38,4,1,10:55,9:38,1:17
11/15/2024,2024-11-15 - Team D at Team C,Team C,90,3,1,10:55,9:51,1:04
11/15/2024,2024-11-15 - Team D at Team C,Team D,14,4,1,10:47,9:39,1:08
11/15/2024,2024-11-15 - Team D at Team C,Team D,27,6,1,10:47,9:46,1:01
11/15/2024,2024-11-15 - Team D at Team C,Team D,28,5,1,10:37,9:39,0:58
11/15/2024,2024-11-15 - Team D at Team C,Team D,41,5,1,10:37,9:39,0:58
11/15/2024,2024-11-15 - Team D at Team C,Team D,4,6,1,10:27,9:47,0:40
11/15/2024,2024-11-15 - Team D at Team C,Team C,84,5,1,10:10,9:38,0:32
11/15/2024,2024-11-15 - Team D at Team C,Team C,14,7,1,10:55,9:38,1:17
11/15/2024,2024-11-15 - Team D at Team C,Team C,38,4,1,10:55,9:38,1:17
11/15/2024,2024-11-15 - Team D at Team C,Team C,90,3,1,10:55,9:51,1:04
11/15/2024,2024-11-15 - Team D at Team C,Team D,14,4,1,10:47,9:39,1:08
11/15/2024,2024-11-15 - Team D at Team C,Team D,27,6,1,10:47,9:46,1:01
11/15/2024,2024-11-15 - Team D at Team C,Team D,28,5,1,10:37,9:39,0:58
11/15/2024,2024-11-15 - Team D at Team C,Team D,41,5,1,10:37,9:39,0:58
11/15/2024,2024-11-15 - Team D at Team C,Team D,4,6,1,10:27,9:47,0:40
11/15/2024,2024-11-15 - Team D at Team C,Team C,84,5,1,10:10,9:38,0:32
11/15/2024,2024-11-15 - Team D at Team C,Team C,14,7,1,10:55,9:38,1:17
11/15/2024,2024-11-15 - Team D at Team C,Team C,38,4,1,10:55,9:38,1:17
11/15/2024,2024-11-15 - Team D at Team C,Team C,90,3,1,10:55,9:51,1:04
11/15/2024,2024-11-15 - Team D at Team C,Team D,14,4,1,10:47,9:39,1:08
11/15/2024,2024-11-15 - Team D at Team C,Team D,27,6,1,10:47,9:46,1:01
11/15/2024,2024-11-15 - Team D at Team C,Team D,28,5,1,10:37,9:39,0:58
11/15/2024,2024-11-15 - Team D at Team C,Team D,41,5,1,10:37,9:39,0:58
11/15/2024,2024-11-15 - Team D at Team C,Team D,4,6,1,10:27,9:47,0:40
11/15/2024,2024-11-15 - Team D at Team C,Team C,84,5,1,10:10,9:38,0:32
11/15/2024,2024-11-15 - Team D at Team C,Team C,14,7,1,10:55,9:38,1:17
11/15/2024,2024-11-15 - Team D at Team C,Team C,38,4,1,10:55,9:38,1:17
11/15/2024,2024-11-15 - Team D at Team C,Team C,90,3,1,10:55,9:51,1:04
11/15/2024,2024-11-15 - Team D at Team C,Team D,14,4,1,10:47,9:39,1:08
11/15/2024,2024-11-15 - Team D at Team C,Team D,27,6,1,10:47,9:46,1:01
11/15/2024,2024-11-15 - Team D at Team C,Team D,28,5,1,10:37,9:39,0:58
11/15/2024,2024-11-15 - Team D at Team C,Team D,41,5,1,10:37,9:39,0:58
11/15/2024,2024-11-15 - Team D at Team C,Team D,4,6,1,10:27,9:47,0:40
11/15/2024,2024-11-15 - Team D at Team C,Team C,84,5,1,10:10,9:38,0:32
11/15/2024,2024-11-15 - Team D at Team C,Team C,14,7,1,10:55,9:38,1:17
11/15/2024,2024-11-15 - Team D at Team C,Team C,38,4,1,10:55,9:38,1:17
11/15/2024,2024-11-15 - Team D at Team C,Team C,90,3,1,10:55,9:51,1:04
11/15/2024,2024-11-15 - Team D at Team C,Team D,14,4,1,10:47,9:39,1:08
11/15/2024,2024-11-15 - Team D at Team C,Team D,27,6,1,10:47,9:46,1:01
11/15/2024,2024-11-15 - Team D at Team C,Team D,28,5,1,10:37,9:39,0:58
11/15/2024,2024-11-15 - Team D at Team C,Team D,41,5,1,10:37,9:39,0:58
11/15/2024,2024-11-15 - Team D at Team C,Team D,4,6,1,10:27,9:47,0:40
11/15/2024,2024-11-15 - Team D at Team C,Team C,84,5,1,10:10,9:38,0:32
11/15/2024,2024-11-15 - Team D at Team C,Team C,14,7,1,10:55,9:38,1:17
11/15/2024,2024-11-15 - Team D at Team C,Team C,38,4,1,10:55,9:38,1:17
11/15/2024,2024-11-15 - Team D at Team C,Team C,90,3,1,10:55,9:51,1:04
11/15/2024,2024-11-15 - Team D at Team C,Team D,14,4,1,10:47,9:39,1:08
11/15/2024,2024-11-15 - Team D at Team C,Team D,27,6,1,10:47,9:46,1:01
11/15/2024,2024-11-15 - Team D at Team C,Team D,28,5,1,10:37,9:39,0:58
11/15/2024,2024-11-15 - Team D at Team C,Team D,41,5,1,10:37,9:39,0:58
11/15/2024,2024-11-15 - Team D at Team C,Team D,4,6,1,10:27,9:47,0:40
11/15/2024,2024-11-15 - Team D at Team C,Team C,84,5,1,10:10,9:38,0:32
11/15/2024,2024-11-15 - Team D at Team C,Team C,14,7,1,10:55,9:38,1:17
11/15/2024,2024-11-15 - Team D at Team C,Team C,38,4,1,10:55,9:38,1:17
11/15/2024,2024-11-15 - Team D at Team C,Team C,90,3,1,10:55,9:51,1:04
11/15/2024,2024-11-15 - Team D at Team C,Team D,14,4,1,10:47,9:39,1:08
11/15/2024,2024-11-15 - Team D at Team C,Team D,27,6,1,10:47,9:46,1:01
11/15/2024,2024-11-15 - Team D at Team C,Team D,28,5,1,10:37,9:39,0:58
11/15/2024,2024-11-15 - Team D at Team C,Team D,41,5,1,10:37,9:39,0:58
11/15/2024,2024-11-15 - Team D at Team C,Team D,4,6,1,10:27,9:47,0:40
11/15/2024,2024-11-15 - Team D at Team C,Team C,84,5,1,10:10,9:38,0:32
11/15/2024,2024-11-15 - Team D at Team C,Team C,14,7,1,10:55,9:38,1:17
11/15/2024,2024-11-15 - Team D at Team C,Team C,38,4,1,10:55,9:38,1:17
11/15/2024,2024-11-15 - Team D at Team C,Team C,90,3,1,10:55,9:51,1:04
11/15/2024,2024-11-15 - Team D at Team C,Team D,14,4,1,10:47,9:39,1:08
11/15/2024,2024-11-15 - Team D at Team C,Team D,27,6,1,10:47,9:46,1:01
11/15/2024,2024-11-15 - Team D at Team C,Team D,28,5,1,10:37,9:39,0:58
11/15/2024,2024-11-15 - Team D at Team C,Team D,41,5,1,10:37,9:39,0:58
11/15/2024,2024-11-15 - Team D at Team C,Team D,4,6,1,10:27,9:47,0:40
11/15/2024,2024-11-15 - Team D at Team C,Team C,84,5,1,10:10,9:38,0:32
11/15/2024,2024-11-15 - Team D at Team C,Team C,14,7,1,10:55,9:38,1:17
11/15/2024,2024-11-15 - Team D at Team C,Team C,38,4,1,10:55,9:38,1:17
11/15/2024,2024-11-15 - Team D at Team C,Team C,90,3,1,10:55,9:51,1:04
11/15/2024,2024-11-15 - Team D at Team C,Team D,14,4,1,10:47,9:39,1:08
11/15/2024,2024-11-15 - Team D at Team C,Team D,27,6,1,10:47,9:46,1:01
11/15/2024,2024-11-15 - Team D at Team C,Team D,28,5,1,10:37,9:39,0:58
11/15/2024,2024-11-15 - Team D at Team C,Team D,41,5,1,10:37,9:39,0:58
11/15/2024,2024-11-15 - Team D at Team C,Team D,4,6,1,10:27,9:47,0:40
11/15/2024,2024-11-15 - Team D at Team C,Team C,84,5,1,10:10,9:38,0:32
11/15/2024,2024-11-15 - Team D at Team C,Team C,14,7,1,10:55,9:38,1:17
11/15/2024,2024-11-15 - Team D at Team C,Team C,38,4,1,10:55,9:38,1:17
11/15/2024,2024-11-15 - Team D at Team C,Team C,90,3,1,10:55,9:51,1:04
11/15/2024,2024-11-15 - Team D at Team C,Team D,14,4,1,10:47,9:39,1:08
11/15/2024,2024-11-15 - Team D at Team C,Team D,27,6,1,10:47,9:46,1:01
11/15/2024,2024-11-15 - Team D at Team C,Team D,28,5,1,10:37,9:39,0:58
11/15/2024,2024-11-15 - Team D at Team C,Team D,41,5,1,10:37,9:39,0:58
11/15/2024,2024-11-15 - Team D at Team C,Team D,4,6,1,10:27,9:47,0:40
11/15/2024,2024-11-15 - Team D at Team C,Team C,84,5,1,10:10,9:38,0:32
11/15/2024,2024-11-15 - Team D at Team C,Team C,14,7,1,10:55,9:38,1:17
11/15/2024,2024-11-15 - Team D at Team C,Team C,38,4,1,10:55,9:38,1:17
11/15/2024,2024-11-15 - Team D at Team C,Team C,90,3,1,10:55,9:51,1:04
11/15/2024,2024-11-15 - Team D at Team C,Team D,14,4,1,10:47,9:39,1:08
11/15/2024,2024-11-15 - Team D at Team C,Team D,27,6,1,10:47,9:46,1:01
11/15/2024,2024-11-15 - Team D at Team C,Team D,28,5,1,10:37,9:39,0:58
11/15/2024,2024-11-15 - Team D at Team C,Team D,41,5,1,10:37,9:39,0:58
11/15/2024,2024-11-15 - Team D at Team C,Team D,4,6,1,10:27,9:47,0:40
11/15/2024,2024-11-15 - Team D at Team C,Team C,84,5,1,10:10,9:38,0:32
11/15/2024,2024-11-15 - Team D at Team C,Team C,14,7,1,10:55,9:38,1:17
11/15/2024,2024-11-15 - Team D at Team C,Team C,38,4,1,10:55,9:38,1:17
11/15/2024,2024-11-15 - Team D at Team C,Team C,90,3,1,10:55,9:51,1:04
11/15/2024,2024-11-15 - Team D at Team C,Team D,14,4,1,10:47,9:39,1:08
11/15/2024,2024-11-15 - Team D at Team C,Team D,27,6,1,10:47,9:46,1:01
11/15/2024,2024-11-15 - Team D at Team C,Team D,28,5,1,10:37,9:39,0:58
11/15/2024,2024-11-15 - Team D at Team C,Team D,41,5,1,10:37,9:39,0:58
11/15/2024,2024-11-15 - Team D at Team C,Team D,4,6,1,10:27,9:47,0:40
11/15/2024,2024-11-15 - Team D at Team C,Team C,84,5,1,10:10,9:38,0:32
11/15/2024,2024-11-15 - Team D at Team C,Team C,14,7,1,10:55,9:38,1:17
11/15/2024,2024-11-15 - Team D at Team C,Team C,38,4,1,10:55,9:38,1:17
11/15/2024,2024-11-15 - Team D at Team C,Team C,90,3,1,10:55,9:51,1:04
11/15/2024,2024-11-15 - Team D at Team C,Team D,14,4,1,10:47,9:39,1:08
11/15/2024,2024-11-15 - Team D at Team C,Team D,27,6,1,10:47,9:46,1:01
11/15/2024,2024-11-15 - Team D at Team C,Team D,28,5,1,10:37,9:39,0:58
11/15/2024,2024-11-15 - Team D at Team C,Team D,41,5,1,10:37,9:39,0:58
11/15/2024,2024-11-15 - Team D at Team C,Team D,4,6,1,10:27,9:47,0:40
11/15/2024,2024-11-15 - Team D at Team C,Team C,84,5,1,10:10,9:38,0:32
11/15/2024,2024-11-15 - Team D at Team C,Team C,14,7,1,10:55,9:38,1:17
11/15/2024,2024-11-15 - Team D at Team C,Team C,38,4,1,10:55,9:38,1:17
11/15/2024,2024-11-15 - Team D at Team C,Team C,90,3,1,10:55,9:51,1:04
11/15/2024,2024-11-15 - Team D at Team C,Team D,14,4,1,10:47,9:39,1:08
11/15/2024,2024-11-15 - Team D at Team C,Team D,27,6,1,10:47,9:46,1:01
11/15/2024,2024-11-15 - Team D at Team C,Team D,28,5,1,10:37,9:39,0:58
11/15/2024,2024-11-15 - Team D at Team C,Team D,41,5,1,10:37,9:39,0:58
11/15/2024,2024-11-15 - Team D at Team C,Team D,4,6,1,10:27,9:47,0:40
11/15/2024,2024-11-15 - Team D at Team C,Team C,84,5,1,10:10,9:38,0:32
11/15/2024,2024-11-15 - Team D at Team C,Team C,14,7,1,10:55,9:38,1:17
11/15/2024,2024-11-15 - Team D at Team C,Team C,38,4,1,10:55,9:38,1:17
11/15/2024,2024-11-15 - Team D at Team C,Team C,90,3,1,10:55,9:51,1:04
11/15/2024,2024-11-15 - Team D at Team C,Team D,14,4,1,10:47,9:39,1:08
11/15/2024,2024-11-15 - Team D at Team C,Team D,27,6,1,10:47,9:46,1:01
11/15/2024,2024-11-15 - Team D at Team C,Team D,28,5,1,10:37,9:39,0:58
11/15/2024,2024-11-15 - Team D at Team C,Team D,41,5,1,10:37,9:39,0:58
11/15/2024,2024-11-15 - Team D at Team C,Team D,4,6,1,10:27,9:47,0:40
11/15/2024,2024-11-15 - Team D at Team C,Team C,84,5,1,10:10,9:38,0:32
11/15/2024,2024-11-15 - Team D at Team C,Team C,14,7,1,10:55,9:38,1:17
11/15/2024,2024-11-15 - Team D at Team C,Team C,38,4,1,10:55,9:38,1:17
11/15/2024,2024-11-15 - Team D at Team C,Team C,90,3,1,10:55,9:51,1:04
11/15/2024,2024-11-15 - Team D at Team C,Team D,14,4,1,10:47,9:39,1:08
11/15/2024,2024-11-15 - Team D at Team C,Team D,27,6,1,10:47,9:46,1:01
11/15/2024,2024-11-15 - Team D at Team C,Team D,28,5,1,10:37,9:39,0:58
11/15/2024,2024-11-15 - Team D at Team C,Team D,41,5,1,10:37,9:39,0:58
11/15/2024,2024-11-15 - Team D at Team C,Team D,4,6,1,10:27,9:47,0:40
11/15/2024,2024-11-15 - Team D at Team C,Team C,84,5,1,10:10,9:38,0:32
11/15/2024,2024-11-15 - Team D at Team C,Team C,14,7,1,10:55,9:38,1:17
11/15/2024,2024-11-15 - Team D at Team C,Team C,38,4,1,10:55,9:38,1:17
11/15/2024,2024-11-15 - Team D at Team C,Team C,90,3,1,10:55,9:51,1:04
11/15/2024,2024-11-15 - Team D at Team C,Team D,14,4,1,10:47,9:39,1:08
11/15/2024,2024-11-15 - Team D at Team C,Team D,27,6,1,10:47,9:46,1:01
11/15/2024,2024-11-15 - Team D at Team C,Team D,28,5,1,10:37,9:39,0:58
11/15/2024,2024-11-15 - Team D at Team C,Team D,41,5,1,10:37,9:39,0:58
11/15/2024,2024-11-15 - Team D at Team C,Team D,4,6,1,10:27,9:47,0:40
11/15/2024,2024-11-15 - Team D at Team C,Team C,84,5,1,10:10,9:38,0:32
11/15/2024,2024-11-15 - Team D at Team C,Team C,14,7,1,10:55,9:38,1:17
11/15/2024,2024-11-15 - Team D at Team C,Team C,38,4,1,10:55,9:38,1:17
11/15/2024,2024-11-15 - Team D at Team C,Team C,90,3,1,10:55,9:51,1:04
11/15/2024,2024-11-15 - Team D at Team C,Team D,14,4,1,10:47,9:39,1:08
11/15/2024,2024-11-15 - Team D at Team C,Team D,27,6,1,10:47,9:46,1:01
11/15/2024,2024-11-15 - Team D at Team C,Team D,28,5,1,10:37,9:39,0:58
11/15/2024,2024-11-15 - Team D at Team C,Team D,41,5,1,10:37,9:39,0:58
11/15/2024,2024-11-15 - Team D at Team C,Team D,4,6,1,10:27,9:47,0:40
11/15/2024,2024-11-15 - Team D at Team C,Team C,84,5,1,10:10,9:38,0:32
11/15/2024,2024-11-15 - Team D at Team C,Team D,27,3,1,16:33,15:58,0:35
11/15/2024,2024-11-15 - Team D at Team C,Team D,18,3,1,16:33,15:58,0:35
11/15/2024,2024-11-15 - Team D at Team C,Team D,4,2,1,16:33,16:22,0:11
11/15/2024,2024-11-15 - Team D at Team C,Team D,23,1,1,16:33,16:22,0:11
11/15/2024,2024-11-15 - Team D at Team C,Team C,14,7,1,10:55,9:38,1:17
11/15/2024,2024-11-15 - Team D at Team C,Team C,38,4,1,10:55,9:38,1:17
11/15/2024,2024-11-15 - Team D at Team C,Team C,90,3,1,10:55,9:51,1:04
11/15/2024,2024-11-15 - Team D at Team C,Team D,14,4,1,10:47,9:39,1:08
11/15/2024,2024-11-15 - Team D at Team C,Team D,27,6,1,10:47,9:46,1:01
11/15/2024,2024-11-15 - Team D at Team C,Team D,28,5,1,10:37,9:39,0:58
11/15/2024,2024-11-15 - Team D at Team C,Team D,41,5,1,10:37,9:39,0:58
11/15/2024,2024-11-15 - Team D at Team C,Team D,4,6,1,10:27,9:47,0:40
11/15/2024,2024-11-15 - Team D at Team C,Team C,84,5,1,10:10,9:38,0:32
11/15/2024,2024-11-15 - Team D at Team C,Team C,14,7,1,10:55,9:38,1:17
11/15/2024,2024-11-15 - Team D at Team C,Team C,38,4,1,10:55,9:38,1:17
11/15/2024,2024-11-15 - Team D at Team C,Team C,90,3,1,10:55,9:51,1:04
11/15/2024,2024-11-15 - Team D at Team C,Team D,14,4,1,10:47,9:39,1:08
11/15/2024,2024-11-15 - Team D at Team C,Team D,27,6,1,10:47,9:46,1:01
11/15/2024,2024-11-15 - Team D at Team C,Team D,28,5,1,10:37,9:39,0:58
11/15/2024,2024-11-15 - Team D at Team C,Team D,41,5,1,10:37,9:39,0:58
11/15/2024,2024-11-15 - Team D at Team C,Team D,4,6,1,10:27,9:47,0:40
11/15/2024,2024-11-15 - Team D at Team C,Team C,84,5,1,10:10,9:38,0:32
11/15/2024,2024-11-15 - Team D at Team C,Team C,14,7,1,10:55,9:38,1:17
11/15/2024,2024-11-15 - Team D at Team C,Team C,38,4,1,10:55,9:38,1:17
11/15/2024,2024-11-15 - Team D at Team C,Team C,90,3,1,10:55,9:51,1:04
11/15/2024,2024-11-15 - Team D at Team C,Team D,14,4,1,10:47,9:39,1:08
11/15/2024,2024-11-15 - Team D at Team C,Team D,27,6,1,10:47,9:46,1:01
11/15/2024,2024-11-15 - Team D at Team C,Team D,28,5,1,10:37,9:39,0:58
11/15/2024,2024-11-15 - Team D at Team C,Team D,41,5,1,10:37,9:39,0:58
11/15/2024,2024-11-15 - Team D at Team C,Team D,4,6,1,10:27,9:47,0:40
11/15/2024,2024-11-15 - Team D at Team C,Team C,84,5,1,10:10,9:38,0:32
11/15/2024,2024-11-15 - Team D at Team C,Team C,14,7,1,10:55,9:38,1:17
11/15/2024,2024-11-15 - Team D at Team C,Team C,38,4,1,10:55,9:38,1:17
11/15/2024,2024-11-15 - Team D at Team C,Team C,90,3,1,10:55,9:51,1:04
11/15/2024,2024-11-15 - Team D at Team C,Team D,14,4,1,10:47,9:39,1:08
11/15/2024,2024-11-15 - Team D at Team C,Team D,27,6,1,10:47,9:46,1:01
11/15/2024,2024-11-15 - Team D at Team C,Team D,28,5,1,10:37,9:39,0:58
11/15/2024,2024-11-15 - Team D at Team C,Team D,41,5,1,10:37,9:39,0:58
11/15/2024,2024-11-15 - Team D at Team C,Team D,4,6,1,10:27,9:47,0:40
11/15/2024,2024-11-15 - Team D at Team C,Team C,84,5,1,10:10,9:38,0:32
11/15/2024,2024-11-15 - Team D at Team C,Team C,14,7,1,10:55,9:38,1:17
11/15/2024,2024-11-15 - Team D at Team C,Team C,38,4,1,10:55,9:38,1:17
11/15/2024,2024-11-15 - Team D at Team C,Team C,90,3,1,10:55,9:51,1:04
11/15/2024,2024-11-15 - Team D at Team C,Team D,14,4,1,10:47,9:39,1:08
11/15/2024,2024-11-15 - Team D at Team C,Team D,27,6,1,10:47,9:46,1:01
11/15/2024,2024-11-15 - Team D at Team C,Team D,28,5,1,10:37,9:39,0:58
11/15/2024,2024-11-15 - Team D at Team C,Team D,41,5,1,10:37,9:39,0:58
11/15/2024,2024-11-15 - Team D at Team C,Team D,4,6,1,10:27,9:47,0:40
11/15/2024,2024-11-15 - Team D at Team C,Team C,84,5,1,10:10,9:38,0:32
11/15/2024,2024-11-15 - Team D at Team C,Team C,55,4,1,16:23,15:06,1:17
11/15/2024,2024-11-15 - Team D at Team C,Team C,91,4,1,16:23,15:22,1:01
11/15/2024,2024-11-15 - Team D at Team C,Team C,26,4,1,16:23,15:25,0:58
11/15/2024,2024-11-15 - Team D at Team C,Team C,62,4,1,16:23,15:35,0:48
11/15/2024,2024-11-15 - Team D at Team C,Team C,70,3,1,16:23,15:51,0:32
11/15/2024,2024-11-15 - Team D at Team C,Team C,14,7,1,10:55,9:38,1:17
